,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
124,787111942498508800,0,7517,Sat Oct 15 02:04:45 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
125,786729988674449408,0,2715,Fri Oct 14 00:47:00 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
126,786036967502913536,0,7911,Wed Oct 12 02:53:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
127,783347506784731136,0,6289,Tue Oct 04 16:46:14 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
128,782021823840026624,0,6978,Sat Oct 01 00:58:26 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
129,780496263422808064,0,4150,Mon Sep 26 19:56:24 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
130,780476555013349377,0,131,Mon Sep 26 18:38:05 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
131,780092040432480260,0,2569,Sun Sep 25 17:10:10 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
132,779124354206535695,0,20534,Fri Sep 23 01:04:56 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
133,778774459159379968,0,11117,Thu Sep 22 01:54:34 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
134,778396591732486144,0,13661,Wed Sep 21 00:53:04 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
135,777953400541634568,0,3926,Mon Sep 19 19:31:59 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
136,777641927919427584,0,4752,Sun Sep 18 22:54:18 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
137,776819012571455488,0,15296,Fri Sep 16 16:24:19 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
138,776249906839351296,0,10220,Thu Sep 15 02:42:54 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
139,775898661951791106,0,17236,Wed Sep 14 03:27:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
140,773336787167145985,0,5673,Wed Sep 07 01:47:12 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
141,772615324260794368,0,3741,Mon Sep 05 02:00:22 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
142,771171053431250945,0,8398,Thu Sep 01 02:21:21 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
143,771004394259247104,0,245,Wed Aug 31 15:19:06 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
144,770093767776997377,0,3374,Mon Aug 29 03:00:36 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
145,769335591808995329,0,8520,Sat Aug 27 00:47:53 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
146,768909767477751808,0,3001,Thu Aug 25 20:35:48 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
147,768554158521745409,0,6462,Wed Aug 24 21:02:45 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
148,766864461642756096,0,6283,Sat Aug 20 05:08:29 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
149,766078092750233600,0,2873,Thu Aug 18 01:03:45 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
150,763167063695355904,0,3346,Wed Aug 10 00:16:21 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
151,761750502866649088,0,4372,Sat Aug 06 02:27:27 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
152,761371037149827077,0,19811,Fri Aug 05 01:19:35 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
153,760153949710192640,0,36,Mon Aug 01 16:43:19 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
154,759566828574212096,0,23390,Sun Jul 31 01:50:18 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
155,759159934323924993,0,1296,Fri Jul 29 22:53:27 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
156,757729163776290825,0,8952,Tue Jul 26 00:08:05 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
157,757597904299253760,0,322,Mon Jul 25 15:26:30 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
158,754874841593970688,0,8835,Mon Jul 18 03:06:01 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
159,753298634498793472,0,6366,Wed Jul 13 18:42:44 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
160,752701944171524096,0,3175,Tue Jul 12 03:11:42 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
161,752309394570878976,0,18358,Mon Jul 11 01:11:51 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
162,747242308580548608,0,3158,Mon Jun 27 01:37:04 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
163,746521445350707200,0,1075,Sat Jun 25 01:52:36 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
164,743835915802583040,0,2289,Fri Jun 17 16:01:16 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
165,711998809858043904,0,136,Mon Mar 21 19:31:59 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
166,667550904950915073,0,35,Fri Nov 20 03:51:52 +0000 2015,Twitter Web Client,This is a retweet,This is a retweet
167,667550882905632768,0,33,Fri Nov 20 03:51:47 +0000 2015,Twitter Web Client,This is a retweet,This is a retweet
